"Keyword","LinkedIn","Indeed","SimplyHired","Monster"
"AI composite","1,568","1,125","811","687"
"analysis","5,168","3,500","2,668","3,306"
"communication","3,404","2,344","1,791","2,053"
"computer science","4,517","2,739","2,093","1,900"
"data engineering","514","339","276","200"
"deep learning","1,310","979","675","606"
"machine learning","5,701","3,439","2,561","2,340"
"mathematics","2,605","1,961","1,497","1,815"
"neural networks","671","485","421","305"
"NLP composite","1,212","910","660","582"
"project management","476","397","330","348"
"software development","732","627","481","784"
"software engineering","413","295","250","512"
"statistics","4,893","2,992","2,308","2,399"
"visualization","1,879","1,413","1,153","1,207"
"AWS","947","791","607","467"
"Azure","578","416","285","272"
"C","795","492","384","523"
"C# ","324","245","182","219"
"C++","1,024","765","580","439"
"Caffe","206","149","113","96"
"Cassandra","236","174","146","136"
"D3","353","149","113","95"
"Docker","290","240","148","194"
"Excel","701","569","438","397"
"Git","282","261","186","145"
"Hadoop","2,142","1,578","1,164","1,200"
"Hbase","302","219","167","138"
"Hive","1,182","830","637","619"
"Java","1,944","1,377","1,059","1,002"
"Javascript","328","245","214","224"
"Keras","329","253","205","131"
"Linux","601","517","364","303"
"Matlab","806","677","544","419"
"MongoDB","251","196","165","116"
"MySQL","278","233","187","121"
"NoSQL","598","436","387","362"
"Numpy","387","257","232","152"
"Pandas","421","330","282","175"
"Perl","309","258","202","198"
"Pig","367","296","231","256"
"Python","6,347","3,818","2,888","2,544"
"PyTorch","214","143","131","98"
"R","4,553","3,106","2,393","2,365"
"SAS","1,713","1,134","910","978"
"Scala","1,040","739","589","520"
"Scikit-learn","474","402","294","212"
"Spark","2,169","1,551","1,167","1,062"
"SPSS","452","330","273","202"
"SQL","3,879","2,628","2,056","1,841"
"Tableau","1,216","1,012","780","744"
"TensorFlow","844","661","501","385"
